Lens Type,Lens Index,Coating,Price (EUR per Single Lens),Pair Price (EUR),Is Active
CLEAR,1.56,BLUE_PRO,14.49,28.98,Yes
CLEAR,1.56,SERICUM_UV,14.49,28.98,Yes
CLEAR,1.56,UC,8.49,16.98,Yes
CLEAR,1.60,BLUE_PRO,22.98,45.96,Yes
CLEAR,1.60,SERICUM_UV,22.98,45.96,Yes
CLEAR,1.60,UC,16.98,33.96,Yes
CLEAR,1.67,BLUE_PRO,31.07,62.14,Yes
CLEAR,1.67,SERICUM_UV,31.07,62.14,Yes
CLEAR,1.67,UC,25.07,50.14,Yes
PHOTOCHROMIC_SOLIS,1.56,BLUE_PRO,19.53,39.06,Yes
PHOTOCHROMIC_SOLIS,1.56,SERICUM_UV,19.53,39.06,Yes
PHOTOCHROMIC_SOLIS,1.56,UC,13.53,27.06,Yes
PHOTOCHROMIC_SOLIS,1.60,BLUE_PRO,30.66,61.32,Yes
PHOTOCHROMIC_SOLIS,1.60,SERICUM_UV,30.66,61.32,Yes
PHOTOCHROMIC_SOLIS,1.60,UC,24.66,49.32,Yes
PHOTOCHROMIC_SOLIS,1.67,BLUE_PRO,38.90,77.80,Yes
PHOTOCHROMIC_SOLIS,1.67,SERICUM_UV,38.90,77.80,Yes
PHOTOCHROMIC_SOLIS,1.67,UC,32.90,65.80,Yes
POLARIZED_NUPOLAR,1.60,BLUE_PRO,41.98,83.96,Yes
POLARIZED_NUPOLAR,1.60,SERICUM_UV,41.98,83.96,Yes
POLARIZED_NUPOLAR,1.60,UC,35.98,71.96,Yes
POLARIZED_NUPOLAR,1.67,BLUE_PRO,64.62,129.24,Yes
POLARIZED_NUPOLAR,1.67,SERICUM_UV,64.62,129.24,Yes
POLARIZED_NUPOLAR,1.67,UC,58.62,117.24,Yes
TINTED,1.56,BLUE_PRO,14.49,28.98,Yes
TINTED,1.56,SERICUM_UV,14.49,28.98,Yes
TINTED,1.56,UC,8.49,16.98,Yes
TINTED,1.60,BLUE_PRO,22.98,45.96,Yes
TINTED,1.60,SERICUM_UV,22.98,45.96,Yes
TINTED,1.60,UC,16.98,33.96,Yes
TINTED,1.67,BLUE_PRO,31.07,62.14,Yes
TINTED,1.67,SERICUM_UV,31.07,62.14,Yes
TINTED,1.67,UC,25.07,50.14,Yes
