Mono RX,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Mono Rx 1.50 ,6.47,7.47,10.47,12.47,12.47,12.47,11.47,x,16.47,,,,,,,,,,
Mono Rx 1.53 ,14.15,15.15,18.15,20.15,20.15,x,x,x,24.15,,,,,,,,,,
Mono Rx 1.56 ,8.49,9.49,12.49,14.49,14.49,x,x,x,18.49,,,,,,,,,,
Mono Rx 1.59 ,15.61,16.61,19.61,21.61,21.61,x,x,x,25.61,,,,,,,,,,
Mono Rx 1.60 ,16.98,17.98,20.98,22.98,22.98,22.98,21.98,x,26.98,,,,,,,,,,
Mono Rx 1.67 ,25.07,26.07,29.07,31.07,31.07,31.07,30.07,x,35.07,,,,,,,,,,
Mono Rx 1.74 ,41.64,42.64,45.64,47.64,47.64,47.64,46.64,x,51.64,,,,,,,,,,
Mono Rx 1.50 BLUE420 ,9.05,10.05,13.05,15.05,15.05,15.05,x,x,19.05,,,,,,,,,,
Mono Rx 1.60 BLUE420 ,20.37,21.37,24.37,26.37,26.37,26.37,x,x,30.37,,,,,,,,,,
Mono Rx 1.67 BLUE420 ,30.07,31.07,34.07,36.07,36.07,36.07,x,x,40.07,,,,,,,,,,
Junior 1.50 ,6.47,7.47,10.47,12.47,12.47,12.47,11.47,x,16.47,,,,,,,,,,
Junior 1.50 BLUE420 ,9.05,10.05,13.05,15.05,15.05,15.05,x,x,19.05,,,,,,,,,,
Mono Rx 1.50 Trans GEN S ,23.66,24.66,27.66,29.66,29.66,29.66,x,x,33.66,,,,,,,,,,
"Mono Rx 1.50 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",23.66,24.66,27.66,29.66,29.66,29.66,x,x,33.66,,,,,,,,,,
Mono Rx 1.53 Trans GEN S ,50.40,51.40,54.40,56.40,56.40,x,x,x,60.40,,,,,,,,,,
Mono Rx 1.60 Trans GEN S ,43.11,44.11,47.11,49.11,49.11,49.11,x,x,53.11,,,,,,,,,,
"Mono Rx 1.60 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",43.11,44.11,47.11,49.11,49.11,49.11,x,x,53.11,,,,,,,,,,
Mono Rx 1.67 Trans GEN S ,50.80,51.80,54.80,56.80,56.80,56.80,x,x,60.80,,,,,,,,,,
"Mono Rx 1.67 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",50.80,51.80,54.80,56.80,56.80,56.80,x,x,60.80,,,,,,,,,,
Mono Rx 1.74 Trans GEN S ,61.22,62.22,65.22,67.22,67.22,67.22,x,x,71.22,,,,,,,,,,
Mono Rx 1.50 Trans Drivewear ,53.96,54.96,57.96,59.96,59.96,59.96,x,x,63.96,,,,,,,,,,
Mono Rx 1.67 Trans Drivewear ,62.06,63.06,66.06,68.06,68.06,68.06,x,x,72.06,,,,,,,,,,
Mono Rx 1.50 Solis ,14.73,15.73,18.73,20.73,20.73,20.73,x,19.73,24.73,,,,,,,,,,
Mono Rx 1.56 Solis,13.53,14.53,17.53,19.53,19.53,19.53,x,18.53,23.53,,,,,,,,,,
Mono Rx 1.60 Solis ,24.66,25.66,28.66,30.66,30.66,30.66,x,29.66,34.66,,,,,,,,,,
