Lens Type,Lens Type Label,Lens Index,Coating,Coating Label,Single Lens Price (EUR),Pair Price Base (EUR),Tint Type,Tint Color,Tint Shade (%),Tint Recipe,Tint Fee Per Pair (EUR),Photochromic Color,Polarized Color,Frame Type,Frame Type Label,Edging Fee (EUR),Lens Pair Total (EUR),Rx Add-on Net (EUR),Profit (EUR),Rx Retail Net (EUR),Total Rx Add-on (EUR),Available,Notes
CLEAR,Clear (Mono RX),1.56,UC,Uncoated (UC),8.49,16.98,,,,,0,,,FULL_FRAME,Full Frame,4.6,16.98,21.58,15,36.58,36.58,Yes,
CLEAR,Clear (Mono RX),1.56,UC,Uncoated (UC),8.49,16.98,,,,,0,,,NYLON_FRAME,Nylon Frame,5.9,16.98,22.88,15,37.88,37.88,Yes,
CLEAR,Clear (Mono RX),1.56,UC,Uncoated (UC),8.49,16.98,,,,,0,,,RIMLESS_PRESSING,Rimless (Plastic Pressing),12,16.98,28.98,15,43.98,43.98,Yes,
CLEAR,Clear (Mono RX),1.56,UC,Uncoated (UC),8.49,16.98,,,,,0,,,RIMLESS_INDIVIDUAL,Rimless (Individual Mountings),20,16.98,36.98,15,51.98,51.98,Yes,
CLEAR,Clear (Mono RX),1.56,UC,Uncoated (UC),8.49,16.98,,,,,0,,,LINDBERG_COMPLEX,Lindberg / Complex,20,16.98,36.98,15,51.98,51.98,Yes,
CLEAR,Clear (Mono RX),1.56,BLUE_PRO,Blue PRO,14.49,28.98,,,,,0,,,FULL_FRAME,Full Frame,4.6,28.98,33.58,15,48.58,48.58,Yes,
CLEAR,Clear (Mono RX),1.56,BLUE_PRO,Blue PRO,14.49,28.98,,,,,0,,,NYLON_FRAME,Nylon Frame,5.9,28.98,34.88,15,49.88,49.88,Yes,
CLEAR,Clear (Mono RX),1.56,BLUE_PRO,Blue PRO,14.49,28.98,,,,,0,,,RIMLESS_PRESSING,Rimless (Plastic Pressing),12,28.98,40.98,15,55.98,55.98,Yes,
CLEAR,Clear (Mono RX),1.56,BLUE_PRO,Blue PRO,14.49,28.98,,,,,0,,,RIMLESS_INDIVIDUAL,Rimless (Individual Mountings),20,28.98,48.98,15,63.98,63.98,Yes,
CLEAR,Clear (Mono RX),1.56,BLUE_PRO,Blue PRO,14.49,28.98,,,,,0,,,LINDBERG_COMPLEX,Lindberg / Complex,20,28.98,48.98,15,63.98,63.98,Yes,
CLEAR,Clear (Mono RX),1.6,UC,Uncoated (UC),16.98,33.96,,,,,0,,,FULL_FRAME,Full Frame,4.6,33.96,38.56,15,53.56,53.56,Yes,
CLEAR,Clear (Mono RX),1.6,UC,Uncoated (UC),16.98,33.96,,,,,0,,,NYLON_FRAME,Nylon Frame,5.9,33.96,39.86,15,54.86,54.86,Yes,
CLEAR,Clear (Mono RX),1.6,UC,Uncoated (UC),16.98,33.96,,,,,0,,,RIMLESS_PRESSING,Rimless (Plastic Pressing),12,33.96,45.96,15,60.96,60.96,Yes,
CLEAR,Clear (Mono RX),1.6,UC,Uncoated (UC),16.98,33.96,,,,,0,,,RIMLESS_INDIVIDUAL,Rimless (Individual Mountings),20,33.96,53.96,15,68.96,68.96,Yes,
CLEAR,Clear (Mono RX),1.6,UC,Uncoated (UC),16.98,33.96,,,,,0,,,LINDBERG_COMPLEX,Lindberg / Complex,20,33.96,53.96,15,68.96,68.96,Yes,
CLEAR,Clear (Mono RX),1.6,BLUE_PRO,Blue PRO,22.98,45.96,,,,,0,,,FULL_FRAME,Full Frame,4.6,45.96,50.56,15,65.56,65.56,Yes,
CLEAR,Clear (Mono RX),1.6,BLUE_PRO,Blue PRO,22.98,45.96,,,,,0,,,NYLON_FRAME,Nylon Frame,5.9,45.96,51.86,15,66.86,66.86,Yes,
CLEAR,Clear (Mono RX),1.6,BLUE_PRO,Blue PRO,22.98,45.96,,,,,0,,,RIMLESS_PRESSING,Rimless (Plastic Pressing),12,45.96,57.96,15,72.96,72.96,Yes,
CLEAR,Clear (Mono RX),1.6,BLUE_PRO,Blue PRO,22.98,45.96,,,,,0,,,RIMLESS_INDIVIDUAL,Rimless (Individual Mountings),20,45.96,65.96,15,80.96,80.96,Yes,
CLEAR,Clear (Mono RX),1.6,BLUE_PRO,Blue PRO,22.98,45.96,,,,,0,,,LINDBERG_COMPLEX,Lindberg / Complex,20,45.96,65.96,15,80.96,80.96,Yes,
CLEAR,Clear (Mono RX),1.67,UC,Uncoated (UC),25.07,50.14,,,,,0,,,FULL_FRAME,Full Frame,4.6,50.14,54.74,15,69.74,69.74,Yes,
CLEAR,Clear (Mono RX),1.67,UC,Uncoated (UC),25.07,50.14,,,,,0,,,NYLON_FRAME,Nylon Frame,5.9,50.14,56.04,15,71.04,71.04,Yes,
CLEAR,Clear (Mono RX),1.67,UC,Uncoated (UC),25.07,50.14,,,,,0,,,RIMLESS_PRESSING,Rimless (Plastic Pressing),12,50.14,62.14,15,77.14,77.14,Yes,
CLEAR,Clear (Mono RX),1.67,UC,Uncoated (UC),25.07,50.14,,,,,0,,,RIMLESS_INDIVIDUAL,Rimless (Individual Mountings),20,50.14,70.14,15,85.14,85.14,Yes,
CLEAR,Clear (Mono RX),1.67,UC,Uncoated (UC),25.07,50.14,,,,,0,,,LINDBERG_COMPLEX,Lindberg / Complex,20,50.14,70.14,15,85.14,85.14,Yes,
CLEAR,Clear (Mono RX),1.67,BLUE_PRO,Blue PRO,31.07,62.14,,,,,0,,,FULL_FRAME,Full Frame,4.6,62.14,66.74,15,81.74,81.74,Yes,
CLEAR,Clear (Mono RX),1.67,BLUE_PRO,Blue PRO,31.07,62.14,,,,,0,,,NYLON_FRAME,Nylon Frame,5.9,62.14,68.04,15,83.04,83.04,Yes,
CLEAR,Clear (Mono RX),1.67,BLUE_PRO,Blue PRO,31.07,62.14,,,,,0,,,RIMLESS_PRESSING,Rimless (Plastic Pressing),12,62.14,74.14,15,89.14,89.14,Yes,
CLEAR,Clear (Mono RX),1.67,BLUE_PRO,Blue PRO,31.07,62.14,,,,,0,,,RIMLESS_INDIVIDUAL,Rimless (Individual Mountings),20,62.14,82.14,15,97.14,97.14,Yes,
CLEAR,Clear (Mono RX),1.67,BLUE_PRO,Blue PRO,31.07,62.14,,,,,0,,,LINDBERG_COMPLEX,Lindberg / Complex,20,62.14,82.14,15,97.14,97.14,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,15,,6,,,FULL_FRAME,Full Frame,4.6,34.98,39.58,15,54.58,54.58,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,15,,6,,,NYLON_FRAME,Nylon Frame,5.9,34.98,40.88,15,55.88,55.88,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,15,,6,,,RIMLESS_PRESSING,Rimless (Plastic Pressing),12,34.98,46.98,15,61.98,61.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,15,,6,,,RIMLESS_INDIVIDUAL,Rimless (Individual Mountings),20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,15,,6,,,LINDBERG_COMPLEX,Lindberg / Complex,20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,50,,6,,,FULL_FRAME,Full Frame,4.6,34.98,39.58,15,54.58,54.58,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,50,,6,,,NYLON_FRAME,Nylon Frame,5.9,34.98,40.88,15,55.88,55.88,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,50,,6,,,RIMLESS_PRESSING,Rimless (Plastic Pressing),12,34.98,46.98,15,61.98,61.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,50,,6,,,RIMLESS_INDIVIDUAL,Rimless (Individual Mountings),20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,50,,6,,,LINDBERG_COMPLEX,Lindberg / Complex,20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,85,,6,,,FULL_FRAME,Full Frame,4.6,34.98,39.58,15,54.58,54.58,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,85,,6,,,NYLON_FRAME,Nylon Frame,5.9,34.98,40.88,15,55.88,55.88,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,85,,6,,,RIMLESS_PRESSING,Rimless (Plastic Pressing),12,34.98,46.98,15,61.98,61.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,85,,6,,,RIMLESS_INDIVIDUAL,Rimless (Individual Mountings),20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,85,,6,,,LINDBERG_COMPLEX,Lindberg / Complex,20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,15,,6,,,FULL_FRAME,Full Frame,4.6,34.98,39.58,15,54.58,54.58,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,15,,6,,,NYLON_FRAME,Nylon Frame,5.9,34.98,40.88,15,55.88,55.88,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,15,,6,,,RIMLESS_PRESSING,Rimless (Plastic Pressing),12,34.98,46.98,15,61.98,61.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,15,,6,,,RIMLESS_INDIVIDUAL,Rimless (Individual Mountings),20,34.98,54.98,15,69.98,69.98,Yes,
