sku;name;images;video;stock_a;stock_a_days;stock_b;stock_b_days;stock_c;stock_c_days;pvd_old;pvd;pvd_dif;pvr_old;pvr;pvr_dif;category
S05149512;Ladies' Sunglasses Guess GU00216 Black;https://www.bigbuy.eu/7827888/ladies-sunglasses-guess-gu00216-black_1299639.jpg;-;1;1;0;5;1;1;-;42.86;0.00%;-;48.16;0.00%;Sunglasses
S05149439;Ladies' Sunglasses Guess GU00215 Black Golden;https://www.bigbuy.eu/7827883/ladies-sunglasses-guess-gu00215-black-golden_1299638.jpg;-;1;1;0;5;1;1;-;42.86;0.00%;-;48.16;0.00%;Sunglasses
S72143608;Ladies' Sunglasses Guess GU7917 5674T;https://www.bigbuy.eu/7826759/ladies-sunglasses-guess-gu7917-5674t_1299332.jpg;-;50;1;0;5;50;1;-;52.41;0.00%;-;63.91;0.00%;Sunglasses
S72143606;Unisex Sunglasses Guess GU3053 5552F;https://www.bigbuy.eu/7826732/unisex-sunglasses-guess-gu3053-5552f_1299325.jpg;-;50;1;0;5;50;1;-;49.66;0.00%;-;60.56;0.00%;Sunglasses
S72143597;Ladies' Sunglasses Guess GU00103 5257P;https://www.bigbuy.eu/7826703/ladies-sunglasses-guess-gu00103-5257p_1299316.jpg;-;34;1;0;5;34;1;-;52.41;0.00%;-;63.91;0.00%;Sunglasses
S72143573;Ladies' Sunglasses Guess by Marciano GM00023 6033W;https://www.bigbuy.eu/7826876/ladies-sunglasses-guess-by-marciano-gm00023-6033w_1299367.jpg;-;35;1;0;5;35;1;-;62.51;0.00%;-;73.54;0.00%;Sunglasses
S72143572;Ladies' Sunglasses Guess by Marciano GM00017 5352P;https://www.bigbuy.eu/7826839/ladies-sunglasses-guess-by-marciano-gm00017-5352p_1299355.jpg;-;50;1;0;5;50;1;-;62.51;0.00%;-;73.54;0.00%;Sunglasses
S72143571;Ladies' Sunglasses Guess by Marciano GM00017 5301B;https://www.bigbuy.eu/7826680/ladies-sunglasses-guess-by-marciano-gm00017-5301b_1299308.jpg;-;50;1;0;5;50;1;-;62.51;0.00%;-;73.54;0.00%;Sunglasses
S72143570;Ladies' Sunglasses Guess by Marciano GM00014 5698F;https://www.bigbuy.eu/7826656/ladies-sunglasses-guess-by-marciano-gm00014-5698f_1299298.jpg;-;50;1;0;5;50;1;-;62.51;0.00%;-;73.54;0.00%;Sunglasses
S72143569;Ladies' Sunglasses Guess by Marciano GM00012 5889W;https://www.bigbuy.eu/7826582/ladies-sunglasses-guess-by-marciano-gm00012-5889w_1299272.jpg;-;50;1;0;5;50;1;-;62.51;0.00%;-;73.54;0.00%;Sunglasses
